	Tissue	Replicate	MCP	Cold_Storage	MCP_Storage	Tissue_MCP_Storage	Tissue_MCP_Storage_Rep.	Tissue_MCP	Tissue_Storage	Cold_Storage_Rep
Bacteria_KIWI_031	Pericarp	3	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.3	Pericarp_No	Pericarp_0_days	0_days_3
Bacteria_KIWI_032	Pericarp	4	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.4	Pericarp_No	Pericarp_0_days	0_days_4
Bacteria_KIWI_033	Pericarp	5	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.5	Pericarp_No	Pericarp_0_days	0_days_5
Bacteria_KIWI_034	Pericarp	6	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.6	Pericarp_No	Pericarp_0_days	0_days_6
Bacteria_KIWI_035	Pericarp	7	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.7	Pericarp_No	Pericarp_0_days	0_days_7
Bacteria_KIWI_036	Placenta	1	Yes	90_days	Yes_90_days	Placenta_Yes_90_days	Placenta_Yes_90_days_No.1	Placenta_Yes	Placenta_90_days	90_days_1
Bacteria_KIWI_037	Placenta	2	Yes	90_days	Yes_90_days	Placenta_Yes_90_days	Placenta_Yes_90_days_No.2	Placenta_Yes	Placenta_90_days	90_days_2
Bacteria_KIWI_038	Placenta	3	Yes	90_days	Yes_90_days	Placenta_Yes_90_days	Placenta_Yes_90_days_No.3	Placenta_Yes	Placenta_90_days	90_days_3
Bacteria_KIWI_039	Placenta	4	Yes	90_days	Yes_90_days	Placenta_Yes_90_days	Placenta_Yes_90_days_No.4	Placenta_Yes	Placenta_90_days	90_days_4
Bacteria_KIWI_040	Placenta	5	Yes	90_days	Yes_90_days	Placenta_Yes_90_days	Placenta_Yes_90_days_No.5	Placenta_Yes	Placenta_90_days	90_days_5
Bacteria_KIWI_041	Placenta	6	Yes	90_days	Yes_90_days	Placenta_Yes_90_days	Placenta_Yes_90_days_No.6	Placenta_Yes	Placenta_90_days	90_days_6
Bacteria_KIWI_042	Placenta	7	Yes	90_days	Yes_90_days	Placenta_Yes_90_days	Placenta_Yes_90_days_No.7	Placenta_Yes	Placenta_90_days	90_days_7
Bacteria_KIWI_043	Placenta	1	No	90_days	No_90_days	Placenta_No_90_days	Placenta_No_90_days_No.1	Placenta_No	Placenta_90_days	90_days_1
Bacteria_KIWI_044	Placenta	2	No	90_days	No_90_days	Placenta_No_90_days	Placenta_No_90_days_No.2	Placenta_No	Placenta_90_days	90_days_2
Bacteria_KIWI_045	Placenta	3	No	90_days	No_90_days	Placenta_No_90_days	Placenta_No_90_days_No.3	Placenta_No	Placenta_90_days	90_days_3
Bacteria_KIWI_046	Placenta	4	No	90_days	No_90_days	Placenta_No_90_days	Placenta_No_90_days_No.4	Placenta_No	Placenta_90_days	90_days_4
Bacteria_KIWI_047	Placenta	5	No	90_days	No_90_days	Placenta_No_90_days	Placenta_No_90_days_No.5	Placenta_No	Placenta_90_days	90_days_5
Bacteria_KIWI_048	Placenta	6	No	90_days	No_90_days	Placenta_No_90_days	Placenta_No_90_days_No.6	Placenta_No	Placenta_90_days	90_days_6
Bacteria_KIWI_049	Placenta	7	No	90_days	No_90_days	Placenta_No_90_days	Placenta_No_90_days_No.7	Placenta_No	Placenta_90_days	90_days_7
Bacteria_KIWI_050	Placenta	1	Yes	15_days	Yes_15_days	Placenta_Yes_15_days	Placenta_Yes_15_days_No.1	Placenta_Yes	Placenta_15_days	15_days_1
Bacteria_KIWI_051	Placenta	2	Yes	15_days	Yes_15_days	Placenta_Yes_15_days	Placenta_Yes_15_days_No.2	Placenta_Yes	Placenta_15_days	15_days_2
Bacteria_KIWI_052	Placenta	3	Yes	15_days	Yes_15_days	Placenta_Yes_15_days	Placenta_Yes_15_days_No.3	Placenta_Yes	Placenta_15_days	15_days_3
Bacteria_KIWI_053	Placenta	4	Yes	15_days	Yes_15_days	Placenta_Yes_15_days	Placenta_Yes_15_days_No.4	Placenta_Yes	Placenta_15_days	15_days_4
Bacteria_KIWI_054	Placenta	5	Yes	15_days	Yes_15_days	Placenta_Yes_15_days	Placenta_Yes_15_days_No.5	Placenta_Yes	Placenta_15_days	15_days_5
Bacteria_KIWI_055	Placenta	6	Yes	15_days	Yes_15_days	Placenta_Yes_15_days	Placenta_Yes_15_days_No.6	Placenta_Yes	Placenta_15_days	15_days_6
Bacteria_KIWI_056	Placenta	7	Yes	15_days	Yes_15_days	Placenta_Yes_15_days	Placenta_Yes_15_days_No.7	Placenta_Yes	Placenta_15_days	15_days_7
Bacteria_KIWI_057	Placenta	1	No	15_days	No_15_days	Placenta_No_15_days	Placenta_No_15_days_No.1	Placenta_No	Placenta_15_days	15_days_1
Bacteria_KIWI_058	Placenta	2	No	15_days	No_15_days	Placenta_No_15_days	Placenta_No_15_days_No.2	Placenta_No	Placenta_15_days	15_days_2
Bacteria_KIWI_059	Placenta	3	No	15_days	No_15_days	Placenta_No_15_days	Placenta_No_15_days_No.3	Placenta_No	Placenta_15_days	15_days_3
Bacteria_KIWI_060	Placenta	4	No	15_days	No_15_days	Placenta_No_15_days	Placenta_No_15_days_No.4	Placenta_No	Placenta_15_days	15_days_4
Bacteria_KIWI_061	Placenta	5	No	15_days	No_15_days	Placenta_No_15_days	Placenta_No_15_days_No.5	Placenta_No	Placenta_15_days	15_days_5
Bacteria_KIWI_062	Placenta	6	No	15_days	No_15_days	Placenta_No_15_days	Placenta_No_15_days_No.6	Placenta_No	Placenta_15_days	15_days_6
Bacteria_KIWI_063	Placenta	7	No	15_days	No_15_days	Placenta_No_15_days	Placenta_No_15_days_No.7	Placenta_No	Placenta_15_days	15_days_7
Bacteria_KIWI_064	Placenta	1	No	0_days	No_0_days	Placenta_No_0_days	Placenta_No_0_days_No.1	Placenta_No	Placenta_0_days	0_days_1
Bacteria_KIWI_065	Placenta	2	No	0_days	No_0_days	Placenta_No_0_days	Placenta_No_0_days_No.2	Placenta_No	Placenta_0_days	0_days_2
Bacteria_KIWI_066	Placenta	3	No	0_days	No_0_days	Placenta_No_0_days	Placenta_No_0_days_No.3	Placenta_No	Placenta_0_days	0_days_3
Bacteria_KIWI_067	Placenta	4	No	0_days	No_0_days	Placenta_No_0_days	Placenta_No_0_days_No.4	Placenta_No	Placenta_0_days	0_days_4
Bacteria_KIWI_068	Placenta	5	No	0_days	No_0_days	Placenta_No_0_days	Placenta_No_0_days_No.5	Placenta_No	Placenta_0_days	0_days_5
Bacteria_KIWI_069	Placenta	6	No	0_days	No_0_days	Placenta_No_0_days	Placenta_No_0_days_No.6	Placenta_No	Placenta_0_days	0_days_6
Bacteria_KIWI_070	Placenta	7	No	0_days	No_0_days	Placenta_No_0_days	Placenta_No_0_days_No.7	Placenta_No	Placenta_0_days	0_days_7
